topic,ask_code,en,ko,ru,zh,mn,note
vm3,vm374,explode,폭발하다,взрываться,爆炸,дэлбэрэх,
vm2,vm373,celebrate,쇠다(설을+),отмечать (напр. Новый год),过(过年的+),шинэлэх,
vm2,vm372,"move, change ones residence",이사가다,переезжать (в новое место жительства),搬家,нүүх,
vm2,vm371,"move, transfer",옮기다,перемещать,搬动(把那块石头搬动的+),нүүлгэх,
vm2,vm370,carry,나르다,переносить,搬运,зөөх,
vm2,vm369,carry,운반하다,перевозить,运输,тээвэрлэх,
vm2,vm636,joke,농담하다,шутить,开玩笑,тоглож хэлэх,
vm2,vm368,to be mischievous/play around,장난하다,шалить,顽皮,тоглох,
vm1,vm367,play,놀다,играть,玩儿,наадах,
vm1,vm366,use,쓰다/사용하다,использовать,使用,хэрэглэх,
vm3,vm365,wander,방황하다,блуждать,彷徨,тэнүүчлэх,
vm1,vm364,get lost,잃다(길을+),заблудиться,迷路,төөрөх,
vm1,vm363,find,발견하다/찾다,найти,发现/找着,олж нээх,
vm1,vm362,search/look for,찾다(좁은 범위에서+),,找(找人的+),,
vm3,vm361,search/look for,찾다(넓은 범위에서+),,寻找/找寻,,
vm1,vm360,search for,찾다,искать,找/寻找/找寻,эрэх,
vm1,vm359,lose,잃어버리다,потерять,丢(丢失的+),гээх,
vm1,vm358,turn off,끄다(불을+),тушить,灭(熄灭的+),унтраах (гал+),
vm1,vm357,light(v),피우다(불을+),зажигать,点(点火的+),асаах (гал+),
vm1,vm356,turn off,끄다(전등을+),выключать,关/闭(关灯的+),унтраах (чийдэн+),
vm1,vm355,turn on a light,켜다(전등을+),включать (напр. свет),点/开(点灯的+),ассах (чийдэн+),
vm2,vm354,stop up,막다(틈새를+),затыкать (напр. щели),塞住,бөглөх,
vm2,vm353,nail(v),박다(못을+),забивать (напр. гвоздь),钉(钉钉子的+),хадах,
vm2,vm352,be piled up,쌓이다,накапливаться,堆起来,овоорох,
vm2,vm351,bury,묻다(땅에+),хоронить,埋/埋葬,булах,
vm2,vm350,adorn,치장하다(재귀형),наряжаться,打扮,гоёх,
vm2,vm349,decorate,장식하다,украшать,装饰(装饰屋子的+),чимэглэх,
vm2,vm348,put on makeup,화장하다(재귀형),"краситься (красить себе лицо, губы)",'化妆(演出化妆的+),будаж шунхдах,
vm2,vm347,comb,빗질하다(재귀형),расчёсываться,梳(梳头的+),самнах,
vm2,vm346,sweep,쓸다(빗자루로+),подметать (метлой),扫(扫灰尘的+),шүүрдэх,
vm2,vm345,lay,펴다(이부자리를+),стелить (постель),铺(铺床的+),дэлгэх,
vm2,vm344,weave (basket),엮다(광주리를+),плести (корзину),编(编筐的+),сүлжих,
vm2,vm343,"mend, stitch",깁다,штопать,补(补衣服的+),нөхөх,
vm3,vm342,dye,염색하다,красить,染(染头发的+),будах,
vm1,vm341,wash,씻다,мыть,洗(洗手的+),угаах,
vm2,vm340,roll,말다/감다,"свёртывать, наматывать",卷(卷帘子的+),ороох,
vm2,vm339,winnow,키질하다,веять (напр. крупу веялкой),簸米,дэвүүрдэх,
vm2,vm338,take out,꺼내다,вынимать,拿出,гаргах,
vm1,vm337,put,싣다,грузить,装(装车的+),ачих,
vm2,vm336,pinch,끼우다,вставлять,夹(夹击的+),хавчуулах,
vm2,vm335,put in,꽂다/삽입하다,втыкать,揷/插入,хатгах,
vm2,vm334,paste,붙이다,приклеивать,贴(粘贴的+),наах,
vm2,vm333,weigh,달다(무게를+),взвешивать,称(称重量的+),жигнэх,
vm2,vm332,measure/gauge,측정하다,измерять,测定,хэмжих,
vm3,vm331,measure (cloth),재다(천을+),измерять ткань,量(量布的+）,(бөс даавуу) хэмжих,
vm2,vm330,spin,뽑다/잣다(실을+),прясть,缫(缫丝的+),гаргаж авах,
vm2,vm329,weave,방직하다/짜다(옷감을+),ткать,织布/织,нэхэх,
vm1,vm328,pull out,뽑다/빼다(이를+),вырвать (напр. зуб),拔(拔牙的+),өвс ногоо зулгаах,
vm2,vm327,chop with an axe,찍다/패다(도끼로+),колоть (топором),砍(砍树的+),цавчих,
vm2,vm326,spray,뿌리다(물을+),поливать (водой),浇(浇水的+),цацах,
vm2,vm325,harrow,써레질하다,боронить,耙(耙地的+),борнойдох,
vm2,vm324,plow,갈다(쟁기로 땅을+),пахать землю сохой,犁(犁地的+),анжисдах,
vm2,vm323,plow,갈다(밭을+),пахать,耕(耕地的+),тариан талбай хагалах,
vm2,vm322,carry on the shoulder,메다(가방을+),нести на плече (сумку),扛(扛东西的+),үүрэх,
vm1,vm321,raise,들다/올리다,поднимать,举(举起的+),өргөх,
vm2,vm320,smelt iron,단련하다(쇠를+),закаливать (железо),打(打铁的+),төмөр давтах,
vm3,vm319,cast steel,제강하다,производить сталь,炼钢,ган хайлуулах,
vm2,vm318,"connect, join",잇다,связывать (нитки),联结,залгах,
vm3,vm317,connect,연결하다,соединять,连接,холбох,
vm2,vm316,correct,고치다/수정하다,исправлять,改(修改的+),засварлах,
vm1,vm315,"mend, repair",고치다/수선하다,"чинить, ремонтировать",修理,засах,
vm3,vm314,labor,노동하다,трудиться,劳动,хөдөлмөрлөх,
vm2,vm313,lean against,기대다,опираться,靠(依靠的+),налах,
vm2,vm312,slip,넘어지다(미끄러져+),подскользнуться,倒(滑倒的+),унах (хальтирч+),
vm2,vm311,tumble,넘어지다(걸려+),споткнуться,跌(跌倒的+),бүдрэх (торж+),
vm2,vm310,fall down,쓰러지다,падать (напр. от усталости),倒下,ойчих,
vm3,vm309,penetrate,꿰뚫다,пронзать,穿透,нэвтлэх,
vm2,vm308,poke,뚫다,протыкать,钻(钻井的+),цоолох,
vm2,vm307,pierce,찌르다,вонзать (напр. меч в грудь),刺/扎(刺穿的+),хатгах,
vm2,vm306,bring down,부리다(짐을+),выгружать,卸下,ачаа буулгах,
vm2,vm305,"carry, bear",지다(짐을+),взваливать (напр. на плечи или на спину тяжёлый мешок),背(背行李的+),үүрэх,
vm2,vm304,stretch (out),뻗다,растягиваться,伸(伸胳膊的+),сунгах,
vm2,vm303,throw away,내버리다,выбрасывать,扔掉,хаях,
vm1,vm302,throw,던지다,бросать,掷/扔,шидэх,
vm2,vm301,take off,떼다,отрывать,揭下,салгах,
vm1,vm300,pick,뜯다/따다(열매를+),рвать (напр. ягоды),采/摘(采果子的+),түүх,
vm2,vm299,clap,치다(손바닥으로+),ударять (ладонью),拍(拍巴掌的+),алгадах,
vm2,vm298,push,밀다,толкать,推(推挤的+),түлхэх,
vm2,vm297,pull (bag),끌다(가방을+),тащить (нарты),拽(拽东西的+),чирэх,
vm2,vm296,pull (sheep),끌다(양을+),тащить (овцу),牵(牵羊的+),хөтлөх,
vm2,vm295,cut,끊다(줄을+),резать (верёвку),扯断(扯断绳索的+),таслах,
vm2,vm294,be torn,찢어지다,рваться,破(衣服破了的+),урагдах,
vm2,vm293,tear(v),찢다/째다,рвать (напр. платье в куски),撕开(撕开报纸的+),урах,
vm2,vm292,scratch,긁다(재귀형),чесаться,搔挠,маажих,
vm1,vm291,touch,만지다,трогать,摸(抚摸的+),гар хүрэх,
vm1,vm290,smell(vt),맡다(냄새를+),нюхать,闻(闻味儿的+),үнэрлэх,
vm2,vm289,smell(vi),나다(냄새가+),пахнуть,有味儿,үнэр гарах,
vm2,vm288,whisper,속삭이다,шептать,说悄悄话/咬耳朵,шивнэх,
vm2,vm287,swallow,삼키다,глотать,咽(咽吐沫的+),залгих,
vm2,vm286,hold (sth) in ones mouth,물다(입에+),держать во рту,含(含糖的+),зуух,
vm1,vm285,chew,씹다,жевать,嚼(嚼食物的+),зажлах,
vm2,vm284,close ones eyes,감다(눈을+),закрывать глаза,闭(+眼睛),аних,
vm2,vm283,open ones eyes,뜨다(눈을+),открывать глаза,睁(+眼睛),нээх,
vm3,vm282,spy(v),정탐하다,разведывать,窥视,тагнах,
vm2,vm281,turn inside out,뒤집다,выворачивать наизнанку,翻(翻东西的+),өнгийг нь эргүүлэх,
vm2,vm280,rust,녹슬다,ржаветь,锈(生锈的+),зэврэх,
vm1,vm279,trouble,고장(故障)나다,сломаться,出故障,эвдрэх,
vm3,vm278,be broke down,파손되다,повреждаться,损坏,гэмтэх,
vm2,vm277,grow(vi),자라다,расти,成长,өсөх ,
vm3,vm276,develop,발전하다,развиваться,发展,хөгжих,
vm2,vm275,lick,핥다,лизать (языком),舔(舔舌头的+),долоох,
vm3,vm274,bear the responsibility,책임지다,нести ответственность,负责,хариуцах,
vm3,vm273,get sober,깨다(술에서+),оправляться от похмелья,醒(酒醒了的+),архи гарах,
vm2,vm272,wake up,깨다(잠에서+),просыпаться,醒(早上醒来的+),сэрэх,
vm2,vm271,wake up,깨우다,будить,叫~起来(把我叫起来的+),сэрээх,
vm1,vm270,dream,꿈,сон (напр. страшный сон),梦(做梦的+),зүүд,
vm1,vm269,dream a dream,꾸다(꿈을+),видеть сон,做(做梦的+),зүүдлэх,
vm1,vm268,meet,만나다(우연히+),встречать (случайно),遇见,тааралдах,
vm1,vm267,meet,만나다(약속해서+),встречаться,见面,уулзах,
vm2,vm266,separate(vi),헤어지다,расставаться,分开,салах,
vm2,vm265,separate(vt),갈라지다,разделяться,分裂,хагацах,
vm2,vm264,share,분배하다,распределять,分配,хуваарилах,
vm2,vm263,distribute,나누어 주다,раздавать,分配／分,хувааж өгөх,
vm1,vm262,separate,나누다/분리하다,разделять,分离／分开,хуваах,
vm2,vm261,decrease,줄다,уменьшаться,减少(+降雨量),хорогдох,
vm2,vm260,increase,늘다,увеличиваться,增加／添,нэмэгдэх,
vm2,vm259,carry,휴대하다,носить при себе,携带,биедээ авч явах,
vm2,vm258,"refuse, reject",거절하다,отказывать,拒绝,татгалзах,
vm2,vm257,"admit, allow",승낙하다/허락하다,разрешать,允许,зөвшөөрөх,
vm2,vm256,forbid,금지하다,запрещать,禁止,хориглох,
vm3,vm255,abstain,삼가다,воздерживаться,戒(戒备的+),түдгэлзэх,
vm2,vm254,avoid,피하다,избежать,避(躲避的+),зайлах,
vm2,vm253,"get rid of, take off",없애다,устранять,消除,арилгах,
vm2,vm252,escape,달아나다,убегать,逃(逃跑的+),зугтах,
vm2,vm251,dry by the fire,말리다(불로+),сушить (около огня),烘干,ширгээх,
vm2,vm250,dry(vt),말리다(빨래를+),сушить (бельё),晒干／晾干,хатаах,
vm2,vm249,dry(vi),마르다(빨래가+),сохнуть (бельё),干(衣服干了的+),хатах,
vm2,vm248,wash (launder),빨다,стирать,洗(+衣服),угаах,
vm2,vm247,burn(vi),연소하다/타다,гореть,燃烧/烧,асах,
vm1,vm246,burn(vt),태우다,сжигать,烧(烧纸的+),шатаах,
vm2,vm245,sharpen (pencil),깎다(연필을+),точить (карандаш),削(削铅笔的+),үзүүрлэх,
vm2,vm244,sharpen (knife),갈다(칼을+),точить (нож),磨(磨刀的+),ирлэх,
vm2,vm243,cut,절단하다,отрезать,折断,огтлох,
vm2,vm242,fold,접다/포개다,складывать,折叠/叠,нугалах,
vm2,vm241,bend,굽히다,изгибать,弯(弯腰的+),тонгойлгох,
vm2,vm240,break off,꺾다,ломать (напр. сучья),折(折树枝的+),хугалах,
vm1,vm239,untie,풀다,развязывать,解开,задлах,
vm1,vm238,tie/fasten,매다,,系(系腰带的+),уях,
vm1,vm237,tie up,묶다,,捆(捆行李的+),боох ,
vm1,vm236,bind,묶다/매다,завязывать,捆/系,,
vm2,vm235,let go,놓아주다,отпускать,放(放开的+),тавих,
vm1,vm234,catch,잡다/포획하다,поймать,捉(捉住的+),барих,
vm3,vm233,search for,수색하다,обыскивать,搜索,нэгжих,
vm2,vm232,expel,쫓아내다,выгонять,撵(撵着跑的+),хөөх,
vm3,vm231,pursue,추격하다(사람을+),преследовать (человека),追(追人的+),мөрдөх,
vm1,vm230,bite (v. animal),물다(동물이+),кусать (животное),咬(狗咬着骨头的+)),урах,
vm3,vm229,bite (v. man),물다(사람이+),кусать (человек),咬(他咬着我的手的+)),хазах,
vm2,vm228,stop,그만두다,перестать,作罢(只好作罢的+),болих,
vm2,vm227,stop,멈추다,останавливаться (на перёкрестке),停(雨停了的+),зогсох,
vm2,vm226,"be continued, be kept on",계속되다(대화가+),продолжаться (напр. разговор),继续进行(对话继续进行着的+),үргэлжлэх,
